SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1200 Main St #1906,Dallas,TX,75202,399500,2,2.0,Metropolitan 1200 Main St Condo,1379,44997,1974,30,290,743,Active,January-9-2021 01:00 PM,January-9-2021 03:00 PM,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-1906/home/30776337,NTREIS,14479300,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #2609,Dallas,TX,75202,500000,2,2.0,"Metropolitan, 1200 Main Street",1379,,1974,172,363,742,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-2609/home/30776442,NTREIS,14389320,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #811,Dallas,TX,75202,324999,2,2.0,Metropolitan,1219,44997,1974,141,267,657,Active,,,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-811/home/30776209,NTREIS,14414868,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1200 Main St #408,Dallas,TX,75202,315000,2,2.0,Metropolitan 1200 Main St Condo,1563,44997,1974,303,202,868,Active,January-9-2021 01:00 PM,January-9-2021 03:00 PM,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-408/home/30776167,NTREIS,14299470,N,Y,32.7800768,-96.8011677
MLS Listing,,Condo/Co-op,1505 Elm St #705,Dallas,TX,75201,225000,1,1.5,Elm Street Condo 1505,1324,10019,1957,81,170,1136,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-705/home/30745205,NTREIS,14455634,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1505 Elm St #704,Dallas,TX,75201,240000,1,1.5,1505 Elm Street Condominiums,1482,10019,1957,227,162,1179,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-704/home/30745208,NTREIS,14350819,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1505 Elm St #305,Dallas,TX,75201,345000,2,2.0,1505 Elm Street Condos,1970,10019,1957,401,175,1458,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-305/home/30745255,NTREIS,14236649,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1505 Elm St #802,Dallas,TX,75201,245000,1,1.5,1505 Elm Street Condos,1482,10019,1957,52,165,1172,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-802/home/30745203,NTREIS,14471827,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1505 Elm St #604,Dallas,TX,75201,259900,1,1.5,Elm Street Condo 1505,1482,10019,1957,470,175,1264,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-604/home/30745262,NTREIS,14192639,N,Y,32.7814834,-96.7997122
MLS Listing,,Condo/Co-op,1505 Elm St #505,Dallas,TX,75201,275000,2,2.0,1505 Elm Street Condos,1819,,1957,185,151,1366,Active,,,http://www.redfin.com/TX/Dallas/1505-Elm-St-75201/unit-505/home/30745266,NTREIS,14383250,N,Y,32.7814834,-96.7997122
